name,positive_ratio,total_reviews,price,owners_mid,average_playtime,median_playtime,genre_Indie,genre_Action,genre_Adventure,genre_Casual,genre_Strategy,genre_Simulation,genre_RPG,genre_Early Access,genre_Free to Play,genre_Sports,cat_Single-player,cat_Steam Achievements,cat_Steam Trading Cards,cat_Steam Cloud,cat_Full controller support,cat_Partial Controller Support,cat_Multi-player,cat_Steam Leaderboards,kmeans_cluster,dbscan_cluster
Nevermind,0.7461300309597523,323,15.49,75000.0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,-1
Master of Orion 3,0.43333333333333335,60,0.0,150000.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4,-1
OMEGA PATTERN - VISUAL NOVEL,0.5,10,4.99,10000.0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,-1
Bocce Revolution,0.7894736842105263,19,7.19,10000.0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,4,-1
Cooking Witch,0.8599033816425121,207,1.69,75000.0,176,176,1,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,2,-1
My Super Tower 3,0.6923076923076923,13,3.99,10000.0,0,0,1,0,1,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,4,-1
Pain Train,0.5597104945717732,829,3.99,150000.0,289,303,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,-1
The Binding of Isaac: Rebirth,0.9753582429355833,74670,10.99,3500000.0,4583,3236,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,-1
Concursion,0.6,70,3.99,35000.0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,2,-1
Konrad's Kittens,0.8,25,11.39,10000.0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,-1
Roomscale Tower,0.5769230769230769,26,10.99,10000.0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,-1
Tokyo Xanadu eX+,0.902676399026764,411,46.49,10000.0,2,2,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,-1
Touhou: Dreaming Butterfly | 东方蝶梦志,0.9047619047619048,42,11.39,10000.0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,-1
Infinite Air with Mark McMorris,0.8090909090909091,220,29.99,10000.0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,-1
